spelling	transcription	stressTrans	syllStruct	syllabification	antepenultOnset	apStress	penultHLweight	preantepenultHLweight	finalHLweight	morphology	vowelLength	preantepenultWeight	antepenultWeight	mainStress	finalStress	papStress	penultOnset	suffixType	penultWeight	antepenultHLweight	S	finalWeight	Suffix	finalC	Prefix	prefixType	finalOnset	finalV	penultStress	codaLength	coda	freq	POS
restaurant	REH1STRAA2NT	12	CL.CCCLCC	(r EH)(s t r AA n t)	other	other	L	other	H	complex	shortV	other	other	penult	2	other	C	noshiftOneSyll	-V	other	otherCluster	-LCC	suffix	Cluster	noPrefix	other	CCC	aa	1	2	 n t	3.0952	N
blubber	BLAH1BER0	10	CCL.CL	(b l AH)(b ER)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	CC	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		1.5441	V
narcotic	NAA2RKAA1TIH0K	210	CLC.CL.CLC	(n AA r)(k AA)(t IH k)	C	2	L	other	H	complex	shortV	other	-LC	penult	0	other	C	penultShift	-V	H	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	1	1	 k	1.5911	A
prefix	PRIY1FIH0KS	10	CCL.CLCC	(p r IY)(f IH k s)	other	other	L	other	H	complex	shortV	other	other	penult	0	other	CC	other	-V	other	otherCluster	-LCC	noSuffix	Cluster	prefix	unstressed	C	ih	1	2	 k s	1.2041	V
jihad	JHIY1HHAA2D	12	CL.CLC	(jh IY)(hh AA d)	other	other	L	other	H	simple	shortV	other	other	penult	2	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	aa	1	1	 d	1.3424	N
aegis	IY1JHAH0S	10	L.CLC	(IY)(jh AH s)	other	other	L	other	H	simple	shortV	other	other	penult	0	other	0	other	-V	other	S	-LC	noSuffix	Singleton	noPrefix	other	C	ah	1	1	 s	0.6990	N
pantheistic	PAE2NTHIY0IH1STIH0K	2010	CLC.CL.L.CCLC	(p AE n)(th IY)(IH)(s t IH k)	C	0	L	H	H	complex	shortV	-LC	-V	penult	0	2	0	penultShift	-V	L	otherSingleton	-LC	suffix	Singleton	noPrefix	other	CC	ih	1	1	 k	0.4771	A
mirage	MER0AA1ZH	01	CL.LC	(m ER)(AA zh)	other	other	L	other	H	simple	shortV	other	other	final	1	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	0	aa	0	1	 zh	1.7782	N
cyprus	SAY1PRAH0S	10	CT.CCLC	(s AY)(p r AH s)	other	other	H	other	H	simple	shortV	other	other	penult	0	other	C	other	-VV	other	S	-LC	noSuffix	Singleton	noPrefix	other	CC	ah	1	1	 s	1.4472	NA
shamble	SHAE1MBAH0L	10	CLC.CL	(sh AE m)(b AL)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	C	other	-LC	other	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		0.4771	V
aggression	AH0GREH1SHAH0N	010	L.CCL.CL	(AH)(g r EH)(sh AN)	0	0	L	other	L	complex	shortV	other	-V	penult	0	other	CC	penultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	an	1	0		2.0414	N
conjure	KAA1NJHER0	10	CLC.CL	(k AA n)(jh ER)	other	other	H	other	L	complex	shortV	other	other	penult	0	other	C	other	-LC	other	other	-V	noSuffix	open	prefix	unstressed	C	er	1	0		1.6812	V
analytic	AE2NAH0LIH1TIH0K	2010	L.CL.CL.CLC	(AE)(n AH)(l IH)(t IH k)	C	0	L	L	H	complex	shortV	-V	-V	penult	0	2	C	penultShift	-V	L	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	1	1	 k	0.6990	A
eligible	EH1LIH0JHAH0BAH0L	1000	L.CL.CL.CL	(EH)(l IH)(jh AH)(b AL)	C	0	L	L	L	complex	shortV	-V	-V	preante	0	1	C	noshiftTwoSyll	-V	L	other	-V	suffix	open	noPrefix	other	C	al	0	0		2.1303	A
electricity	IH0LEH2KTRIH1SAH0TIY0	02100	L.CLC.CCL.CL.CL	(IH)(l EH k)(t r IH)(s AH)(t IY)	CC	1	L	H	L	complex	shortV	-LC	-V	antepenult	0	2	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	0	0		2.5729	N
chatter	CHAE1TER0	10	CL.CL	(ch AE)(t ER)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		2.2695	V
powdery	PAW1DER0IY0	100	CT.CL.L	(p AW)(d ER)(IY)	C	1	L	other	L	simple	shortV	other	-VV	antepenult	0	other	C	other	-V	H	other	-V	noSuffix	open	noPrefix	other	0	iy	0	0		0.7782	A
quadruple	KWAA2DRUW1PAH0L	210	CCL.CCL.CL	(k w AA)(d r UW)(p AL)	CC	2	L	other	L	simple	shortV	other	-V	penult	0	other	CC	other	-V	L	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		1.5315	V
originality	ER0IH2JHAH0NAE1LIH0TIY0	020100	L.L.CL.CL.CL.CL	(ER)(IH)(jh AH)(n AE)(l IH)(t IY)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	0	0		1.4624	N
tingle	TIH1NGGAH0L	10	CLC.CL	(t IH ng)(g AL)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	C	other	-LC	other	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		1.6335	V
immature	IH2MAH0CHUH1R	201	L.CL.CLC	(IH)(m AH)(ch UH r)	0	2	L	other	H	simple	shortV	other	-V	final	1	other	C	other	-V	L	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	uh	0	1	 r	2.1761	A
dissolution	DIH2SAH0LUW1SHAH0N	2010	CL.CL.CL.CL	(d IH)(s AH)(l UW)(sh AN)	C	0	L	L	L	complex	shortV	-V	-V	penult	0	2	C	penultShift	-V	L	other	-V	suffix	open	prefix	unstressed	C	an	1	0		0.7782	N
digit	DIH1JHIH0T	10	CL.CLC	(d IH)(jh IH t)	other	other	L	other	H	simple	shortV	other	other	penult	0	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	ih	1	1	 t	1.4472	N
hormone	HHAO1RMOW2N	12	CLC.CTC	(hh AO r)(m OW n)	other	other	H	other	H	simple	longV	other	other	penult	2	other	C	other	-LC	other	otherSingleton	-TC	noSuffix	Singleton	noPrefix	other	C	ow	1	1	 n	1.7482	N
rational	RAE1SHAH0NAH0L	100	CL.CL.CL	(r AE)(sh AH)(n AL)	C	1	L	other	L	complex	shortV	other	-V	antepenult	0	other	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	al	0	0		2.2967	A
propane	PROW1PEY2N	12	CCT.CTC	(p r OW)(p EY n)	other	other	H	other	H	complex	longV	other	other	penult	2	other	CC	ultShift	-VV	other	otherSingleton	-TC	suffix	Singleton	prefix	unstressed	C	ey	1	1	 n	1.4150	N
regional	RIY1JHAH0NAH0L	100	CL.CL.CL	(r IY)(jh AH)(n AL)	C	1	L	other	L	complex	shortV	other	-V	antepenult	0	other	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	al	0	0		2.0828	A
stipulate	STIH1PYAH0LEY2T	102	CCL.CCL.CTC	(s t IH)(p y AH)(l EY t)	CC	1	L	other	H	complex	longV	other	-V	antepenult	2	other	CC	noshiftOneSyll	-V	L	otherSingleton	-TC	suffix	Singleton	noPrefix	other	C	ey	0	1	 t	1.3979	V
pigment	PIH1GMAH0NT	10	CLC.CLC	(p IH g)(m AN t)	other	other	H	other	H	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-LC	other	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	an	1	1	 t	1.1461	N
appropriation	AH0PROW2PRIY0EY1SHAH0N	02010	L.CCT.CCL.T.CL	(AH)(p r OW)(p r IY)(EY)(sh AN)	CC	0	H	H	L	complex	shortV	-VV	-V	penult	0	2	0	penultShift	-VV	L	other	-V	suffix	open	noPrefix	other	C	an	1	0		0.7782	N
pretended	PRIY0TEH1NDIH0D	010	CCL.CLC.CLC	(p r IY)(t EH n)(d IH d)	CC	0	H	other	H	complex	shortV	other	-V	penult	0	other	C	noshiftOneSyll	-LC	L	otherSingleton	-LC	suffix	Singleton	prefix	unstressed	C	ih	1	1	 d	2.3579	V
microbe	MAY1KROW2B	12	CT.CCTC	(m AY)(k r OW b)	other	other	H	other	H	complex	longV	other	other	penult	2	other	C	other	-VV	other	otherSingleton	-TC	noSuffix	Singleton	prefix	unstressed	CC	ow	1	1	 b	1.0000	N
disturb	DIH0STER1B	01	CL.CCLC	(d IH)(s t ER b)	other	other	L	other	H	complex	shortV	other	other	final	1	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	prefix	unstressed	CC	er	0	1	 b	2.6830	V
scholar	SKAA1LER0	10	CCL.CL	(s k AA)(l ER)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	CC	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	er	1	0		2.1072	N
broiler	BROY1LER0	10	CCT.CL	(b r OY)(l ER)	other	other	H	other	L	complex	shortV	other	other	penult	0	other	CC	noshiftOneSyll	-VV	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		1.0000	N
contagious	KAH0NTEY1JHAH0S	010	CL.CT.CLC	(k AN)(t EY)(jh AH s)	C	0	H	other	H	complex	shortV	other	-V	penult	0	other	C	penultShift	-VV	L	S	-LC	suffix	Singleton	prefix	unstressed	C	ah	1	1	 s	2.1335	A
wooden	WUH1DAH0N	10	CL.CL	(w UH)(d AN)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	an	1	0		2.4425	A
turpitude	TER1PIH0TUW2D	102	CL.CL.CLC	(t ER)(p IH)(t UW d)	C	1	L	other	H	simple	shortV	other	-V	antepenult	2	other	C	other	-V	L	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	uw	0	1	 d	1.0414	N
clientele	KLAY2AH0NTEH1L	201	CCT.L.CLC	(k l AY)(AN)(t EH l)	CC	2	L	other	H	simple	shortV	other	-VV	final	1	other	0	other	-V	H	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	eh	0	1	 l	1.8573	N
voyeur	VOY2ER1	21	CT.L	(v OY)(ER)	other	other	H	other	L	complex	shortV	other	other	final	1	other	C	ultShift	-VV	other	other	-V	suffix	open	noPrefix	other	0	er	2	0		1.2041	N
coventry	KAH1VAH0NTRIY0	100	CL.CL.CCL	(k AH)(v AN)(t r IY)	C	1	L	other	L	complex	shortV	other	-V	antepenult	0	other	C	other	-V	L	other	-V	noSuffix	open	prefix	unstressed	CC	iy	0	0		0.9542	NA
cassock	KAE1SAH0K	10	CL.CLC	(k AE)(s AH k)	other	other	L	other	H	simple	shortV	other	other	penult	0	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	ah	1	1	 k	0.9542	N
succession	SAH0KSEH1SHAH0N	010	CLC.CL.CL	(s AH k)(s EH)(sh AN)	C	0	L	other	L	complex	shortV	other	-LC	penult	0	other	C	penultShift	-V	H	other	-V	suffix	open	noPrefix	other	C	an	1	0		1.6721	N
fritter	FRIH1TER0	10	CCL.CL	(f r IH)(t ER)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	CC	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		1.1761	N
ornamental	AO2RNAH0MEH1NTAH0L	2010	LC.CL.CLC.CL	(AO r)(n AH)(m EH n)(t AL)	C	0	H	H	L	complex	shortV	-LC	-V	penult	0	2	C	antepenultShift	-LC	L	other	-V	suffix	open	noPrefix	other	C	al	1	0		1.0000	A
charter	CHAA1RTER0	10	CLC.CL	(ch AA r)(t ER)	other	other	H	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-LC	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		2.0374	V
eagle	IY1GAH0L	10	L.CL	(IY)(g AL)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	0	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		2.4472	N
corvette	KAO2RVEH1T	21	CLC.CLC	(k AO r)(v EH t)	other	other	H	other	H	complex	shortV	other	other	final	1	other	C	ultShift	-LC	other	otherSingleton	-LC	suffix	Singleton	prefix	unstressed	C	eh	2	1	 t	1.6021	N
miller	MIH1LER0	10	CL.CL	(m IH)(l ER)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		2.5353	N
contretemps	KAA1NTRAH0TEH2MPS	102	CLC.CCL.CLCCC	(k AA n)(t r AH)(t EH m p s)	C	1	L	other	H	complex	shortV	other	-LC	antepenult	2	other	CC	other	-V	H	otherCluster	-LCC	noSuffix	Cluster	prefix	unstressed	C	eh	0	3	 m p s	0.7782	N
bacon	BEY1KAH0N	10	CT.CL	(b EY)(k AN)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	C	other	-VV	other	other	-V	noSuffix	open	noPrefix	other	C	an	1	0		2.6021	N
millet	MIH1LAH0T	10	CL.CLC	(m IH)(l AH t)	other	other	L	other	H	simple	shortV	other	other	penult	0	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	ah	1	1	 t	0.8451	N
feasibility	FIY2ZAH0BIH1LAH0TIY0	20100	CL.CL.CL.CL.CL	(f IY)(z AH)(b IH)(l AH)(t IY)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	0	0		0.7782	N
elegant	EH1LAH0GAH0NT	100	L.CL.CLC	(EH)(l AH)(g AN t)	0	1	L	other	H	complex	shortV	other	-V	antepenult	0	other	C	noshiftOneSyll	-V	L	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	an	0	1	 t	2.3820	A
rusty	RAH1STIY0	10	CL.CCL	(r AH)(s t IY)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	CC	iy	1	0		2.3945	A
valiant	VAE1LYAH0NT	10	CL.CCLC	(v AE)(l y AN t)	other	other	L	other	H	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	otherSingleton	-LC	suffix	Singleton	noPrefix	other	CC	an	1	1	 t	1.8388	A
available	AH0VEY1LAH0BAH0L	0100	L.CT.CL.CL	(AH)(v EY)(l AH)(b AL)	C	1	L	L	L	complex	shortV	-V	-VV	antepenult	0	0	C	noshiftTwoSyll	-V	H	other	-V	suffix	open	noPrefix	other	C	al	0	0		3.0294	A
tether	TEH1DHER0	10	CL.CL	(t EH)(dh ER)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		1.3424	V
sterile	STEH1RAH0L	10	CCL.CL	(s t EH)(r AL)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	CC	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		1.9912	A
inanimate	IH0NAE1NAH0MAH0T	0100	L.CL.CL.CLC	(IH)(n AE)(n AH)(m AH t)	C	1	L	L	H	complex	shortV	-V	-V	antepenult	0	0	C	noshiftOneSyll	-V	L	otherSingleton	-LC	suffix	Singleton	prefix	unstressed	C	ah	0	1	 t	1.5315	A
sesame	SEH1SAH0MIY0	100	CL.CL.CL	(s EH)(s AH)(m IY)	C	1	L	other	L	simple	shortV	other	-V	antepenult	0	other	C	other	-V	L	other	-V	noSuffix	open	noPrefix	other	C	iy	0	0		1.8513	N
captain	KAE1PTAH0N	10	CLC.CL	(k AE p)(t AN)	other	other	H	other	L	complex	shortV	other	other	penult	0	other	C	ultShift	-LC	other	other	-V	suffix	open	noPrefix	other	C	an	1	0		3.2519	V
thunder	THAH1NDER0	10	CL.CL	(th AN)(d ER)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		2.5453	V
boogie	BUH1GIY0	10	CL.CL	(b UH)(g IY)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	iy	1	0		2.1038	N
hostile	HHAA2STAY1L	21	CL.CCTC	(hh AA)(s t AY l)	other	other	L	other	H	simple	longV	other	other	final	1	other	C	other	-V	other	otherSingleton	-TC	noSuffix	Singleton	noPrefix	other	CC	ay	2	1	 l	2.5051	A
madden	MAE1DAH0N	10	CL.CL	(m AE)(d AN)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	an	1	0		1.0792	V
fossil	FAA1SAH0L	10	CL.CL	(f AA)(s AL)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		1.7482	A
resilient	RIH0ZIH1LYAH0NT	010	CL.CL.CCLC	(r IH)(z IH)(l y AN t)	C	0	L	other	H	complex	shortV	other	-V	penult	0	other	C	antepenultShift	-V	L	otherSingleton	-LC	suffix	Singleton	noPrefix	other	CC	an	1	1	 t	1.4472	A
numeral	NUW1MER0AH0L	100	CL.CL.L	(n UW)(m ER)(AL)	C	1	L	other	L	complex	shortV	other	-V	antepenult	0	other	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	0	al	0	0		0.9542	A
groupie	GRUW1PIY0	10	CCL.CL	(g r UW)(p IY)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	CC	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	iy	1	0		1.6721	N
admiral	AE1DMER0AH0L	100	LC.CL.L	(AE d)(m ER)(AL)	0	1	L	other	L	complex	shortV	other	-LC	antepenult	0	other	C	antepenultShift	-V	H	other	-V	suffix	open	noPrefix	other	0	al	0	0		2.2601	N
specialist	SPEH1SHAH0LIH0ST	100	CCL.CL.CLCC	(s p EH)(sh AH)(l IH s t)	CC	1	L	other	H	complex	shortV	other	-V	antepenult	0	other	C	noshiftOneSyll	-V	L	SCluster	-LCC	suffix	Cluster	noPrefix	other	C	ih	0	2	 s t	2.3444	N
insinuation	IH0NSIH2NYUW0EY1SHAH0N	02010	LC.CL.CCL.T.CL	(IH n)(s IH)(n y UW)(EY)(sh AN)	CC	0	H	L	L	complex	shortV	-V	-V	penult	0	2	0	penultShift	-VV	L	other	-V	suffix	open	prefix	unstressed	C	an	1	0		1.1761	N
avert	AH0VER1T	01	L.CLC	(AH)(v ER t)	other	other	L	other	H	simple	shortV	other	other	final	1	other	0	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	er	0	1	 t	1.4472	V
splinter	SPLIH1NTER0	10	CCCLC.CL	(s p l IH n)(t ER)	other	other	H	other	L	complex	shortV	other	other	penult	0	other	CCC	noshiftOneSyll	-LC	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		1.7404	V
dory	DAO1RIY0	10	CL.CL	(d AO)(r IY)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	iy	1	0		1.2304	N
chassis	CHAE1SIY0	10	CL.CL	(ch AE)(s IY)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	C	penultShift	-V	other	other	-V	suffix	open	noPrefix	other	C	iy	1	0		1.3617	N
china	CHAY1NAH0	10	CT.CL	(ch AY)(n AH)	other	other	H	other	L	complex	shortV	other	other	penult	0	other	C	penultShift	-VV	other	other	-V	suffix	open	noPrefix	other	C	ah	1	0		2.8007	N
excelsior	IH0KSEH1LSIY0ER0	0100	LC.CLC.CL.L	(IH k)(s EH l)(s IY)(ER)	C	1	L	H	L	complex	shortV	-LC	-LC	antepenult	0	0	C	other	-V	H	other	-V	noSuffix	open	prefix	unstressed	0	er	0	0		1.2304	N
pancreas	PAE1NGKRIY0AH0S	100	CLC.CCL.LC	(p AE ng)(k r IY)(AH s)	C	1	L	other	H	simple	shortV	other	-LC	antepenult	0	other	CC	other	-V	H	S	-LC	noSuffix	Singleton	noPrefix	other	0	ah	0	1	 s	1.5315	N
conversational	KAA2NVER0SEY1SHAH0NAH0L	20100	CLC.CL.CT.CL.CL	(k AA n)(v ER)(s EY)(sh AH)(n AL)	C	1	L	L	L	complex	shortV	-V	-VV	antepenult	0	0	C	antepenultShift	-V	H	other	-V	suffix	open	prefix	unstressed	C	al	0	0		1.4150	A
excretion	IH0KSKRIY1SHAH0N	010	LC.CCCL.CL	(IH k)(s k r IY)(sh AN)	0	0	L	other	L	complex	shortV	other	-LC	penult	0	other	CCC	penultShift	-V	H	other	-V	suffix	open	prefix	unstressed	C	an	1	0		0.8451	N
cyclical	SIH1KLIH0KAH0L	100	CL.CCL.CL	(s IH)(k l IH)(k AL)	C	1	L	other	L	complex	shortV	other	-V	antepenult	0	other	CC	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	al	0	0		0.9031	A
substance	SAH1BSTAH0NS	10	CLC.CCLC	(s AH b)(s t AN s)	other	other	H	other	H	complex	shortV	other	other	penult	0	other	C	other	-LC	other	S	-LC	noSuffix	Singleton	prefix	unstressed	CC	an	1	1	 s	2.4346	N
elaborate	IH0LAE1BER0EY2T	0102	L.CL.CL.TC	(IH)(l AE)(b ER)(EY t)	C	1	L	L	H	complex	longV	-V	-V	antepenult	2	0	C	noshiftOneSyll	-V	L	otherSingleton	-TC	suffix	Singleton	noPrefix	other	0	ey	0	1	 t	2.3404	V
controversy	KAA1NTRAH0VER2SIY0	1020	CLC.CCL.CL.CL	(k AA n)(t r AH)(v ER)(s IY)	CC	0	L	H	L	complex	shortV	-LC	-V	preante	0	1	C	other	-V	L	other	-V	noSuffix	open	prefix	unstressed	C	iy	2	0		1.8451	N
eroticism	ER0AA1TIH0SIH2ZAH0M	01020	L.L.CL.CL.CL	(ER)(AA)(t IH)(s IH)(z AN)	C	0	L	L	L	complex	shortV	-V	-V	preante	0	1	C	noshiftTwoSyll	-V	L	other	-V	suffix	open	noPrefix	other	C	an	2	0		0.9542	N
personify	PER0SAA1NAH0FAY2	0102	CL.CL.CL.CT	(p ER)(s AA)(n AH)(f AY)	C	1	L	L	H	complex	longV	-V	-V	antepenult	2	0	C	antepenultShift	-V	L	other	-VV	suffix	open	prefix	unstressed	C	ay	0	0		0.8451	V
neurologist	NUH2RAA1LAH0JHAH0ST	2100	CL.CL.CL.CLCC	(n UH)(r AA)(l AH)(jh AH s t)	C	1	L	L	H	complex	shortV	-V	-V	antepenult	0	2	C	noshiftOneSyll	-V	L	SCluster	-LCC	suffix	Cluster	noPrefix	other	C	ah	0	2	 s t	1.6232	N
military	MIH1LIH0TEH2RIY0	1020	CL.CL.CL.CL	(m IH)(l IH)(t EH)(r IY)	C	0	L	L	L	complex	shortV	-V	-V	preante	0	1	C	preantepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	2	0		2.9818	A
cancellation	KAE2NSAH0LEY1SHAH0N	2010	CLC.CL.CT.CL	(k AE n)(s AH)(l EY)(sh AN)	C	0	H	H	L	complex	shortV	-LC	-V	penult	0	2	C	penultShift	-VV	L	other	-V	suffix	open	noPrefix	other	C	an	1	0		1.7482	N
burrow	BER1OW0	10	CL.T	(b ER)(OW)	other	other	L	other	H	simple	longV	other	other	penult	0	other	C	other	-V	other	other	-VV	noSuffix	open	noPrefix	other	0	ow	1	0		1.4314	V
criticism	KRIH1TIH0SIH2ZAH0M	1020	CCL.CL.CL.CL	(k r IH)(t IH)(s IH)(z AN)	C	0	L	L	L	complex	shortV	-V	-V	preante	0	1	C	noshiftTwoSyll	-V	L	other	-V	suffix	open	noPrefix	other	C	an	2	0		2.1430	N
golden	GOW1LDAH0N	10	CTC.CL	(g OW l)(d AN)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	C	other	-TC	other	other	-V	noSuffix	open	noPrefix	other	C	an	1	0		2.8797	A
topography	TAH0PAA1GRAH0FIY0	0100	CL.CL.CCL.CL	(t AH)(p AA)(g r AH)(f IY)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	CC	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	0	0		1.0414	N
divide	DIH0VAY1D	01	CL.CTC	(d IH)(v AY d)	other	other	L	other	H	simple	longV	other	other	final	1	other	C	other	-V	other	otherSingleton	-TC	noSuffix	Singleton	noPrefix	other	C	ay	0	1	 d	2.3945	V
classification	KLAE2SAH0FAH0KEY1SHAH0N	20010	CCL.CL.CL.CT.CL	(k l AE)(s AH)(f AH)(k EY)(sh AN)	C	0	H	L	L	complex	shortV	-V	-V	penult	0	0	C	penultShift	-VV	L	other	-V	suffix	open	noPrefix	other	C	an	1	0		1.4771	N
geography	JHIY0AA1GRAH0FIY0	0100	CL.L.CCL.CL	(jh IY)(AA)(g r AH)(f IY)	0	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	CC	antepenultShift	-V	L	other	-V	suffix	open	prefix	unstressed	C	iy	0	0		1.9868	N
lengthen	LEH1NGKTHAH0N	10	CLCC.CL	(l EH ng k)(th AN)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	C	other	-LCC	other	other	-V	noSuffix	open	noPrefix	other	C	an	1	0		1.1139	V
gloaming	GLOW1MIH0NG	10	CCT.CLC	(g l OW)(m IH ng)	other	other	H	other	H	complex	shortV	other	other	penult	0	other	CC	noshiftOneSyll	-VV	other	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	1	1	 ng	0.6990	N
flotsam	FLAA1TSAH0M	10	CCLC.CL	(f l AA t)(s AN)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	CC	other	-LC	other	other	-V	noSuffix	open	noPrefix	other	C	an	1	0		0.9542	N
psychological	SAY2KAH0LAA1JHIH0KAH0L	20100	CT.CL.CL.CL.CL	(s AY)(k AH)(l AA)(jh IH)(k AL)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	C	antepenultShift	-V	L	other	-V	suffix	open	prefix	unstressed	C	al	0	0		2.4502	A
remnant	REH1MNAH0NT	10	CLC.CLC	(r EH m)(n AN t)	other	other	H	other	H	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-LC	other	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	an	1	1	 t	1.1139	N
cocaine	KOW0KEY1N	01	CT.CTC	(k OW)(k EY n)	other	other	H	other	H	complex	longV	other	other	final	1	other	C	noshiftOneSyll	-VV	other	otherSingleton	-TC	suffix	Singleton	prefix	unstressed	C	ey	0	1	 n	2.3345	N
unit	YUW1NIH0T	10	CL.CLC	(y UW)(n IH t)	other	other	L	other	H	simple	shortV	other	other	penult	0	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	ih	1	1	 t	3.0035	N
impracticable	IH0MPRAE1KTIH0KAH0BAH0L	01000	LC.CCLC.CL.CL.CL	(IH m)(p r AE k)(t IH)(k AH)(b AL)	C	0	L	H	L	complex	shortV	-LC	-V	preante	0	1	C	noshiftTwoSyll	-V	L	other	-V	suffix	open	noPrefix	other	C	al	0	0		0.6021	A
sexual	SEH1KSHUW0AH0L	100	CLC.CL.L	(s EH k)(sh UW)(AL)	C	1	L	other	L	complex	shortV	other	-LC	antepenult	0	other	C	antepenultShift	-V	H	other	-V	suffix	open	noPrefix	other	0	al	0	0		2.9609	A
geisha	GEY1SHAH0	10	CT.CL	(g EY)(sh AH)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	C	other	-VV	other	other	-V	noSuffix	open	noPrefix	other	C	ah	1	0		1.5682	N
