spelling	transcription	stressTrans	syllStruct	syllabification	antepenultOnset	apStress	penultHLweight	preantepenultHLweight	finalHLweight	morphology	vowelLength	preantepenultWeight	antepenultWeight	mainStress	finalStress	papStress	penultOnset	suffixType	penultWeight	antepenultHLweight	S	finalWeight	Suffix	finalC	Prefix	prefixType	finalOnset	finalV	penultStress	codaLength	coda	freq	POS
investor	IH0NVEH1STER0	010	LC.CL.CCL	(IH n)(v EH)(s t ER)	0	0	L	other	L	complex	shortV	other	-LC	penult	0	other	C	noshiftOneSyll	-V	H	other	-V	suffix	open	prefix	unstressed	CC	er	1	0		1.6990	N
decapitate	DIY0KAE1PAH0TEY2T	0102	CL.CL.CL.CTC	(d IY)(k AE)(p AH)(t EY t)	C	1	L	L	H	complex	longV	-V	-V	antepenult	2	0	C	noshiftOneSyll	-V	L	otherSingleton	-TC	suffix	Singleton	prefix	unstressed	C	ey	0	1	 t	1.2788	V
successor	SAH0KSEH1SER0	010	CLC.CL.CL	(s AH k)(s EH)(s ER)	C	0	L	other	L	simple	shortV	other	-LC	penult	0	other	C	other	-V	H	other	-V	noSuffix	open	noPrefix	other	C	er	1	0		1.8325	N
verify	VEH1RAH0FAY2	102	CL.CL.CT	(v EH)(r AH)(f AY)	C	1	L	other	H	complex	longV	other	-V	antepenult	2	other	C	antepenultShift	-V	L	other	-VV	suffix	open	noPrefix	other	C	ay	0	0		2.3243	V
easel	IY1ZAH0L	10	L.CL	(IY)(z AL)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	0	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		1.1761	N
profound	PROW0FAW1ND	01	CCT.CTCC	(p r OW)(f AW n d)	other	other	H	other	H	complex	longV	other	other	final	1	other	CC	other	-VV	other	otherCluster	-TCC	noSuffix	Cluster	prefix	unstressed	C	aw	0	2	 n d	2.2810	A
enviable	EH1NVIY0AH0BAH0L	1000	LC.CL.L.CL	(EH n)(v IY)(AH)(b AL)	C	0	L	H	L	complex	shortV	-LC	-V	preante	0	1	0	noshiftTwoSyll	-V	L	other	-V	suffix	open	prefix	unstressed	C	al	0	0		1.0414	A
billy	BIH1LIY0	10	CL.CL	(b IH)(l IY)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	other	-V	suffix	open	prefix	unstressed	C	iy	1	0		2.8376	N
fiddle	FIH1DAH0L	10	CL.CL	(f IH)(d AL)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		2.1139	V
virology	VIH0RAA1LAH0JHIY0	0100	CL.CL.CL.CL	(v IH)(r AA)(l AH)(jh IY)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	0	0		0.4771	N
dogmatic	DAO2GMAE1TIH0K	210	CLC.CL.CLC	(d AO g)(m AE)(t IH k)	C	2	L	other	H	complex	shortV	other	-LC	penult	0	other	C	penultShift	-V	H	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	1	1	 k	1.0000	A
cocoon	KAH0KUW1N	01	CL.CLC	(k AH)(k UW n)	other	other	L	other	H	complex	shortV	other	other	final	1	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	prefix	unstressed	C	uw	0	1	 n	1.6721	V
economy	IY0KAA1NAH0MIY0	0100	L.CL.CL.CL	(IY)(k AA)(n AH)(m IY)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	0	0		2.3385	N
depression	DIH0PREH1SHAH0N	010	CL.CCL.CL	(d IH)(p r EH)(sh AN)	C	0	L	other	L	complex	shortV	other	-V	penult	0	other	CC	penultShift	-V	L	other	-V	suffix	open	prefix	unstressed	C	an	1	0		2.4843	N
tabby	TAE1BIY0	10	CL.CL	(t AE)(b IY)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	iy	1	0		1.2553	N
lilac	LAY1LAE2K	12	CT.CLC	(l AY)(l AE k)	other	other	H	other	H	simple	shortV	other	other	penult	2	other	C	other	-VV	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	ae	1	1	 k	1.4914	N
tepid	TEH1PIH0D	10	CL.CLC	(t EH)(p IH d)	other	other	L	other	H	simple	shortV	other	other	penult	0	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	C	ih	1	1	 d	1.0414	A
whimsy	WIH1MSIY0	10	CLC.CL	(w IH m)(s IY)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	C	other	-LC	other	other	-V	noSuffix	open	noPrefix	other	C	iy	1	0		1.3222	N
related	RIY0LEY1TIH0D	010	CL.CT.CLC	(r IY)(l EY)(t IH d)	C	0	H	other	H	complex	shortV	other	-V	penult	0	other	C	noshiftOneSyll	-VV	L	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	1	1	 d	2.7177	V
bogey	BOW1GIY0	10	CT.CL	(b OW)(g IY)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	C	other	-VV	other	other	-V	noSuffix	open	noPrefix	other	C	iy	1	0		1.7482	V
